energy,Fe_foil,Fe2O3,Fe3O4,FeO
7327.925,-1.86E-04,1.78E-04,-2.33E-04,-8.26E-05
7330.792,-2.89E-04,1.02E-04,-2.36E-04,-6.92E-05
7333.68,-2.45E-05,1.46E-05,-1.36E-04,-5.94E-05
7336.585,4.12E-04,-4.20E-05,-7.28E-05,-4.79E-05
7339.51,6.79E-04,-2.09E-04,-8.88E-05,-2.84E-05
7342.454,6.92E-04,-3.80E-04,-6.42E-05,-1.50E-07
7345.417,4.45E-04,-2.81E-04,3.45E-05,3.57E-05
7348.399,7.05E-05,-1.39E-04,1.09E-04,6.51E-05
7351.4,-1.83E-04,-7.38E-05,9.39E-05,7.27E-05
7354.42,-2.10E-04,-4.00E-05,7.39E-05,4.56E-05
7357.459,-1.93E-04,-8.77E-05,8.01E-05,-1.52E-07
7360.517,-3.40E-04,-5.18E-05,7.23E-05,-2.29E-05
7363.594,-5.30E-04,7.96E-05,6.89E-05,-1.29E-05
7366.69,-6.83E-04,9.71E-05,1.15E-05,9.04E-06
7369.806,-8.15E-04,6.74E-05,-8.11E-05,3.60E-05
7372.94,-8.04E-04,4.93E-05,-9.74E-05,5.43E-05
7376.093,-5.20E-04,5.45E-05,-4.04E-05,4.38E-05
7379.265,1.01E-04,6.52E-05,1.62E-05,2.97E-05
7382.456,7.89E-04,-3.79E-06,5.04E-05,3.31E-05
7385.666,1.02E-03,-3.16E-05,5.94E-05,3.08E-05
7388.896,7.40E-04,2.61E-05,4.88E-05,6.95E-07
7392.144,2.88E-04,1.45E-04,1.50E-05,-3.13E-05
7395.412,-9.15E-05,2.50E-04,-4.57E-05,-4.33E-05
7398.698,-2.21E-04,1.56E-04,-7.17E-05,-5.61E-05
7402.003,-8.75E-05,-1.70E-05,-5.59E-05,-6.39E-05
7405.328,5.01E-05,-1.36E-04,-3.71E-05,-5.59E-05
7408.671,3.13E-05,-1.76E-04,-1.36E-05,-4.19E-05
7412.033,-5.16E-05,-8.42E-05,7.41E-06,-2.69E-05
7415.415,-1.19E-04,-4.34E-05,3.45E-06,-5.74E-06
7418.815,-1.76E-04,-1.15E-04,3.21E-06,2.98E-05
7422.235,-1.09E-04,-1.07E-04,1.22E-05,5.22E-05
7425.673,1.26E-04,-3.47E-05,7.49E-06,5.05E-05
7429.131,2.56E-04,-4.64E-05,2.84E-06,7.81E-05
7432.607,2.11E-04,-4.52E-05,1.38E-05,4.76E-05
7436.103,2.02E-04,4.63E-05,4.87E-05,-6.68E-05
7439.617,1.85E-04,5.65E-05,6.68E-05,-4.53E-05
7443.151,2.91E-05,9.75E-06,4.22E-05,4.81E-05
7446.704,-1.72E-04,6.74E-05,5.21E-06,4.23E-05
7450.275,-2.55E-04,1.54E-04,-3.20E-05,1.48E-05
7453.866,-1.81E-04,1.26E-04,-5.63E-05,9.93E-06
7457.476,-1.35E-04,2.50E-05,-6.05E-05,3.51E-06
7461.104,-1.92E-04,-6.73E-06,-5.30E-05,-7.40E-06
7464.752,-1.99E-04,7.53E-06,-1.02E-05,-1.85E-05
7468.419,-1.01E-04,-1.79E-06,4.84E-05,-2.35E-05
7472.104,4.20E-05,-8.78E-07,6.34E-05,-2.25E-05
7475.809,9.81E-05,-1.66E-06,2.84E-05,-1.91E-05
7479.533,2.29E-05,-4.84E-05,-1.57E-05,-2.43E-05
7483.276,-3.35E-05,-7.93E-05,-2.31E-05,-3.01E-05
7487.038,1.50E-05,-2.53E-05,-3.27E-06,-1.92E-05
7490.819,1.39E-04,1.78E-05,7.43E-06,-1.31E-06
7494.619,2.25E-04,-1.17E-05,5.08E-06,1.42E-05
7498.437,1.67E-04,-2.30E-05,1.08E-05,2.42E-05
7502.275,2.87E-05,1.87E-05,1.14E-05,2.46E-05
7506.132,-6.76E-05,3.94E-05,-8.39E-06,2.23E-05
7510.009,-8.37E-05,-5.64E-06,-7.43E-06,1.25E-05
7513.903,-4.57E-05,-3.37E-05,5.02E-06,1.95E-06
7517.817,1.02E-05,-7.06E-06,-1.61E-06,-9.22E-07
7521.75,5.54E-05,2.98E-05,-5.15E-06,-2.83E-06
7525.703,5.12E-05,5.16E-05,-5.34E-06,-2.32E-06
7529.674,-8.71E-06,2.28E-05,-6.01E-06,1.43E-06
7533.664,-5.69E-05,4.41E-07,-1.82E-06,3.89E-06
7537.673,-5.02E-05,3.74E-06,-3.51E-06,4.63E-06
7541.701,-3.12E-06,-1.64E-05,-8.20E-06,-1.09E-05
7545.748,5.39E-05,-2.20E-05,-8.63E-06,4.30E-07
7549.814,9.29E-05,-2.37E-05,-4.94E-06,3.46E-05
7553.9,7.96E-05,-1.86E-05,9.81E-06,7.22E-06
7558.004,-3.30E-07,1.90E-05,2.29E-05,-1.48E-05
7562.127,-8.76E-05,2.85E-05,2.09E-05,-5.31E-06
7566.269,-1.49E-04,1.39E-05,1.08E-05,-1.11E-05
7570.431,-1.41E-04,1.70E-05,-4.84E-06,-1.33E-05
7574.611,-6.87E-05,-8.26E-06,-1.10E-05,-7.61E-06
7578.81,-4.06E-06,-2.44E-05,-2.76E-06,-2.49E-06
7583.029,5.88E-05,1.88E-05,6.31E-06,-3.77E-07
7587.266,9.92E-05,4.39E-06,1.06E-05,1.41E-06
7591.523,8.02E-05,-2.53E-05,9.36E-06,5.96E-06
7595.798,2.27E-05,6.01E-07,4.53E-07,3.55E-06
7600.093,-1.92E-05,6.97E-06,-1.25E-05,-2.69E-06
7604.406,-3.56E-05,3.21E-05,-1.09E-05,8.21E-07
7608.739,-3.08E-05,3.55E-05,-6.39E-06,3.65E-06
7613.09,2.68E-05,-2.04E-05,-9.28E-06,2.04E-06
7617.46,7.51E-05,-2.00E-05,-2.66E-06,4.46E-06
7621.85,3.71E-05,2.06E-05,-2.10E-06,3.30E-06
7626.259,-3.74E-05,-4.91E-06,-6.45E-06,-2.82E-07
7630.686,-6.95E-05,-4.01E-05,2.99E-06,3.51E-06
7635.133,-4.90E-05,-3.39E-05,5.41E-06,3.43E-07
7639.599,-3.89E-06,-4.71E-06,1.63E-07,2.16E-08
7644.083,2.83E-05,3.19E-05,4.35E-06,8.79E-06
7648.587,3.77E-05,2.84E-06,8.20E-06,2.58E-07
7653.11,3.72E-05,-2.76E-05,8.35E-06,-3.99E-06
7657.651,2.74E-05,1.93E-05,6.12E-06,2.69E-07
7662.212,1.98E-05,6.03E-05,2.03E-06,-5.75E-06
7666.792,2.38E-05,4.75E-05,1.45E-06,-5.21E-06
7671.391,1.47E-05,2.10E-05,4.21E-06,1.11E-06
7676.009,-1.51E-05,9.93E-06,4.26E-06,1.93E-06
7680.645,-4.22E-05,-1.71E-05,-2.11E-06,-3.39E-07
7685.301,-5.07E-05,-4.96E-05,-1.92E-06,-1.46E-06
7689.976,-3.17E-05,-1.05E-05,3.12E-06,8.24E-07
7694.67,-9.54E-06,3.14E-05,7.08E-07,2.48E-06
7699.383,5.71E-06,-1.05E-05,-5.41E-06,-6.32E-07
7704.115,6.53E-06,-2.92E-05,-1.15E-05,-1.29E-06
7708.866,-9.18E-06,4.53E-06,-6.79E-06,2.38E-06
7713.636,-3.97E-06,3.17E-06,2.74E-06,3.50E-06
7718.425,1.74E-05,-9.39E-06,-7.33E-07,5.03E-07
7723.233,2.39E-05,2.13E-05,-6.28E-06,-1.31E-06
7728.06,6.51E-06,1.72E-05,-2.70E-06,5.10E-07
7732.906,3.69E-07,-1.40E-05,7.04E-06,2.32E-06
7737.771,1.09E-05,1.29E-05,1.18E-05,2.88E-06
7742.655,3.13E-06,6.40E-07,7.13E-06,3.36E-06
7747.559,-1.14E-05,-3.64E-05,2.67E-06,6.14E-07
7752.48,-9.93E-06,-2.47E-06,-3.04E-06,-3.20E-06
7757.422,-1.20E-06,1.29E-05,-8.11E-06,-2.83E-06
7762.382,-1.39E-05,-2.37E-06,-1.46E-06,-8.63E-07
7767.361,-7.65E-06,1.39E-05,8.54E-06,-5.69E-07
7772.359,2.18E-05,2.21E-05,7.34E-06,-2.42E-07
7777.377,1.47E-05,1.65E-05,1.11E-06,7.19E-07
7782.413,-1.40E-05,5.39E-06,-2.84E-06,5.51E-07
7787.468,3.06E-06,-2.87E-05,-4.55E-06,3.68E-07
7792.543,3.37E-05,-1.58E-05,-2.46E-06,1.23E-06
7797.636,-3.92E-06,1.79E-05,1.10E-06,9.06E-07
7802.748,-1.06E-05,4.90E-06,-3.77E-07,-2.98E-07
7807.88,1.69E-05,1.50E-05,-7.68E-07,-1.32E-06
7813.03,-6.39E-06,1.21E-05,1.82E-06,-7.36E-07
7818.2,-1.51E-05,-3.00E-05,-2.31E-06,2.36E-06
7823.388,2.73E-06,-2.35E-05,-1.38E-06,2.25E-06
7828.596,3.48E-06,2.02E-05,3.46E-06,-4.56E-07
7833.822,-1.26E-05,3.94E-05,-3.22E-06,5.26E-07
7839.068,-2.47E-06,1.35E-05,-3.21E-06,1.08E-06
7844.332,1.52E-05,-2.27E-05,4.22E-06,-8.36E-07
7849.616,-4.98E-06,-1.57E-05,2.14E-06,-3.25E-08
7854.918,-1.93E-05,4.98E-06,1.78E-06,1.70E-06
7860.24,-5.86E-06,8.31E-06,3.42E-06,1.76E-06
7865.58,7.50E-06,1.93E-05,1.54E-06,4.56E-07
7870.94,8.66E-07,1.75E-05,8.82E-07,-2.22E-06
7876.319,-7.99E-06,-1.29E-05,1.13E-06,-1.31E-06
7881.717,7.74E-06,-2.17E-05,-4.06E-07,2.25E-06
7887.133,1.47E-05,8.72E-06,1.35E-07,1.22E-06
7892.569,-3.48E-06,1.70E-05,2.94E-06,-1.61E-06
7898.024,-5.57E-06,-1.13E-05,2.12E-06,-2.41E-07
7903.497,1.08E-06,-1.98E-05,-1.31E-06,2.09E-06
7908.99,-1.53E-06,-1.36E-05,-4.05E-06,1.55E-06
7914.502,-1.44E-06,-1.84E-06,-2.63E-06,3.55E-07
7920.033,9.45E-06,1.38E-05,1.54E-06,-1.32E-06
7925.583,9.66E-06,1.63E-05,3.15E-06,-7.55E-07
7931.152,-5.92E-06,2.15E-05,1.77E-06,1.99E-06
7936.74,3.80E-06,1.69E-05,4.49E-08,1.30E-06
7942.347,1.21E-05,-9.45E-06,-1.67E-06,2.91E-06
7947.973,-7.50E-06,-1.18E-05,-3.63E-06,6.74E-07
7953.618,-1.34E-05,7.28E-06,-3.40E-06,-5.74E-06
7959.282,1.55E-06,-6.10E-06,3.55E-06,-1.19E-06
7964.965,1.13E-05,-1.22E-05,1.09E-05,1.80E-06
7970.667,4.20E-06,3.20E-06,1.30E-05,7.71E-07
7976.388,-5.59E-06,1.87E-05,1.51E-05,2.67E-06
7982.128,-9.89E-06,3.42E-05,1.72E-05,3.53E-07
7987.887,-4.83E-06,4.98E-05,1.94E-05,-1.03E-06
7993.665,5.08E-06,6.55E-05,2.15E-05,-7.52E-08
7999.462,1.19E-06,8.12E-05,2.37E-05,-2.45E-07
8005.278,-5.85E-07,9.69E-05,2.58E-05,8.25E-07
8011.114,3.77E-06,1.13E-04,2.80E-05,4.87E-07
8016.968,-9.50E-07,1.29E-04,3.01E-05,-1.60E-06
8022.841,-3.93E-06,1.44E-04,3.23E-05,-1.29E-06
8028.733,-2.97E-06,1.60E-04,3.45E-05,1.11E-06
8034.644,-3.91E-06,1.76E-04,3.67E-05,1.87E-06
8040.575,2.71E-06,1.92E-04,3.89E-05,4.70E-07
8046.524,5.13E-06,2.09E-04,4.11E-05,-5.23E-07
8052.493,-2.37E-06,2.25E-04,4.33E-05,-9.40E-08
8058.48,2.06E-07,2.41E-04,4.55E-05,9.91E-07
8064.486,3.52E-06,2.57E-04,4.77E-05,5.06E-07
8070.512,1.81E-07,2.74E-04,5.00E-05,-5.44E-07
8076.556,3.47E-06,2.90E-04,5.22E-05,1.88E-06
8082.62,5.57E-06,3.06E-04,5.44E-05,6.96E-06
8088.702,7.38E-08,3.23E-04,5.67E-05,3.02E-05
8094.803,1.73E-06,3.39E-04,5.90E-05,5.56E-05
8100.924,3.37E-06,3.56E-04,6.12E-05,8.11E-05
8107.063,-5.80E-06,3.72E-04,6.35E-05,1.07E-04
8113.222,-5.99E-06,3.89E-04,6.58E-05,1.32E-04
8119.399,3.46E-06,4.06E-04,6.81E-05,1.58E-04
8125.596,4.17E-06,4.23E-04,7.04E-05,1.84E-04
8131.812,-4.40E-06,4.39E-04,7.27E-05,2.10E-04
8138.046,-1.37E-06,4.56E-04,7.50E-05,2.36E-04
8144.3,7.97E-06,4.73E-04,7.73E-05,2.62E-04
8150.573,-3.38E-06,4.90E-04,7.96E-05,2.88E-04
8156.865,-7.05E-06,5.07E-04,8.19E-05,3.14E-04
8163.175,1.03E-05,5.24E-04,8.43E-05,3.40E-04
8169.505,8.02E-06,5.42E-04,8.66E-05,3.67E-04
8175.853,-1.25E-05,5.59E-04,8.90E-05,3.93E-04
8182.222,-1.01E-05,5.76E-04,9.13E-05,4.20E-04
8188.608,6.21E-06,5.93E-04,9.37E-05,4.46E-04
8195.014,7.90E-06,6.11E-04,9.61E-05,4.73E-04
8201.438,2.66E-06,6.28E-04,9.84E-05,5.00E-04
8207.883,-4.17E-06,6.45E-04,1.01E-04,5.27E-04
8214.346,-1.32E-06,6.63E-04,1.03E-04,5.53E-04
8220.827,3.72E-06,6.80E-04,1.06E-04,5.80E-04
8227.329,-7.27E-06,6.98E-04,1.08E-04,6.08E-04
8233.849,-5.35E-06,7.16E-04,1.10E-04,6.35E-04
8240.388,7.18E-06,7.33E-04,1.13E-04,6.62E-04
8246.945,6.77E-06,7.51E-04,1.15E-04,6.89E-04
8253.522,-1.76E-06,7.69E-04,1.18E-04,7.17E-04
8260.118,7.43E-06,7.87E-04,1.20E-04,7.44E-04
8266.733,9.70E-06,8.05E-04,1.23E-04,7.72E-04
8273.368,-2.01E-05,8.23E-04,1.25E-04,7.99E-04
8280.02,-6.66E-06,8.41E-04,1.28E-04,8.27E-04
8286.693,1.44E-05,8.59E-04,1.30E-04,8.55E-04
8293.384,2.29E-06,8.77E-04,1.32E-04,8.83E-04
8300.095,4.31E-06,8.95E-04,1.35E-04,9.11E-04
8306.823,4.28E-06,9.13E-04,1.37E-04,9.39E-04
8313.571,-9.54E-06,9.32E-04,1.40E-04,9.67E-04
8320.339,-1.59E-05,9.50E-04,1.42E-04,9.95E-04
8327.125,8.13E-06,9.68E-04,1.45E-04,1.02E-03
8333.931,1.53E-05,9.87E-04,1.47E-04,1.05E-03
8340.755,-1.34E-05,1.01E-03,1.50E-04,1.08E-03
8347.598,-2.74E-05,1.02E-03,1.53E-04,1.11E-03
